id	name	x1	y1	x2	y2	population
ALB	Albania	41.15	20.17	51.171	10.451	1
ARG	Argentina	-38.42	-63.62	51.171	10.451	6
AUS	Australia	-25.27	133.78	51.171	10.451	2
AUT	Austria	47.52	14.55	51.171	10.451	24
BEL	Belgium	50.5	4.47	51.171	10.451	4
BIH	Bosnia and Herzegovina	43.92	17.68	51.171	10.451	1
BRA	Brazil	-14.24	-51.93	51.171	10.451	12
CAN	Canada	56.13	-106.35	51.171	10.451	1
CHE	Switzerland	46.82	8.23	51.171	10.451	13
CHL	Chile	-35.68	-71.54	51.171	10.451	2
CIV	C̫te d'Ivoire	7.54	-5.55	51.171	10.451	2
CMR	Cameroon	7.37	12.35	51.171	10.451	3
COD	Congo, The Democratic Republic of the	-4.04	21.76	51.171	10.451	1
COL	Colombia	4.57	-74.3	51.171	10.451	1
CZE	Czechia	49.82	15.47	51.171	10.451	7
DEU	Germany	51.17	10.45	51.171	10.451	240
DNK	Denmark	56.26	9.5	51.171	10.451	6
DZA	Algeria	28.03	1.66	51.171	10.451	1
ESP	Spain	40.46	-3.75	51.171	10.451	9
FIN	Finland	61.92	25.75	51.171	10.451	3
FRA	France	46.23	2.21	51.171	10.451	21
GBR	United Kingdom	55.38	-3.44	51.171	10.451	3
GHA	Ghana	7.95	-1.02	51.171	10.451	3
GIN	Guinea	9.95	-9.7	51.171	10.451	2
GRC	Greece	39.07	21.82	51.171	10.451	4
HRV	Croatia	45.1	15.2	51.171	10.451	7
HUN	Hungary	47.16	19.5	51.171	10.451	3
ISR	Israel	31.05	34.85	51.171	10.451	1
ITA	Italy	41.87	12.57	51.171	10.451	3
JAM	Jamaica	18.11	-77.3	51.171	10.451	1
JPN	Japan	36.2	138.25	51.171	10.451	7
KOR	Korea, Republic of	35.91	127.77	51.171	10.451	2
KOS	Kosovo	42.6	20.9	51.171	10.451	1
LUX	Luxembourg	49.82	6.13	51.171	10.451	1
MAR	Morocco	31.79	-7.09	51.171	10.451	3
MEX	Mexico	23.63	-102.55	51.171	10.451	2
NGA	Nigeria	9.08	8.68	51.171	10.451	2
NLD	Netherlands	52.13	5.29	51.171	10.451	11
NOR	Norway	60.47	8.47	51.171	10.451	4
PER	Peru	-9.19	-75.02	51.171	10.451	1
POL	Poland	51.92	19.15	51.171	10.451	7
PRT	Portugal	39.4	-8.22	51.171	10.451	5
PRY	Paraguay	-23.44	-58.44	51.171	10.451	1
ROU	Romania	45.94	24.97	51.171	10.451	1
RUS	Russian Federation	61.52	105.32	51.171	10.451	1
SEN	Senegal	14.5	-14.45	51.171	10.451	2
SRB	Serbia	44.02	21.01	51.171	10.451	6
SVK	Slovakia	48.67	19.7	51.171	10.451	4
SVN	Slovenia	46.15	15.0	51.171	10.451	1
SWE	Sweden	60.13	18.64	51.171	10.451	10
TGO	Togo	8.62	0.82	51.171	10.451	1
TUR	Turkey	38.96	35.24	51.171	10.451	7
UKR	Ukraine	48.38	31.17	51.171	10.451	1
URY	Uruguay	-32.52	-55.77	51.171	10.451	1
USA	United States	37.09	-95.71	51.171	10.451	11
VEN	Venezuela, Bolivarian Republic of	6.42	-66.59	51.171	10.451	1
ZAF	South Africa	-30.56	22.94	51.171	10.451	1
